COUNTRY,COMPETITION,COMPETITION_ID,BID,NAME,NUM_OF_UPDATES
Africa,CAF Champions League,256,10011,TXStablePriceDemargined,129015
Africa,CAF Confederation Cup,536,10011,TXStablePriceDemargined,269949
Africa,CAF Super Cup,710,10011,TXStablePriceDemargined,4318
Africa,CAF Women's Champions League,10005290,10011,TXStablePriceDemargined,63912
Africa,CECAFA Club Cup,1809,10011,TXStablePriceDemargined,78778
Africa,CECAFA Women's Champions League,10008268,10011,TXStablePriceDemargined,3958
Africa,Mapinduzi Cup,10006184,10011,TXStablePriceDemargined,29794
African Cup,CAF Champions League,256,10011,TXStablePriceDemargined,312487
African Cup,CAF Confederation Cup,536,10011,TXStablePriceDemargined,44585
Albania,1st Division,578,10011,TXStablePriceDemargined,76720
Albania,Cup,202,10011,TXStablePriceDemargined,80030
Albania,Play-offs 1/2,940,10011,TXStablePriceDemargined,137
Albania,Super Cup,840,10011,TXStablePriceDemargined,11733
Albania,Superliga,48,10011,TXStablePriceDemargined,533595
Algeria,Coupe Nationale,705,10011,TXStablePriceDemargined,186416
Algeria,Cup Women,50704,10011,TXStablePriceDemargined,3260
Algeria,Ligue 1,205,10011,TXStablePriceDemargined,1128726
Algeria,Ligue 2,207,10011,TXStablePriceDemargined,848272
Algeria,National Division 1 Feminin,10014087,10011,TXStablePriceDemargined,8
Algeria,National Elite Feminin,50682,10011,TXStablePriceDemargined,34928
Algeria,Super Cup,1269,10011,TXStablePriceDemargined,3163
Algeria,U20 Cup,10023387,10011,TXStablePriceDemargined,11297
Algeria,U20 League,10022887,10011,TXStablePriceDemargined,190898
Andorra,1a Divisio,139,10011,TXStablePriceDemargined,170570
Andorra,2a Divisio,491,10011,TXStablePriceDemargined,8
Andorra,Copa Constitucio,543,10011,TXStablePriceDemargined,3642
Angola,Girabola,493,10011,TXStablePriceDemargined,1683
Antigua And Barbuda,Premier Division,583,10011,TXStablePriceDemargined,27
Argentina,Campeonato Femenino,1135,10011,TXStablePriceDemargined,385095
Argentina,Campeonato Promocional,10014084,10011,TXStablePriceDemargined,40554
Argentina,Copa Argentina,953,10011,TXStablePriceDemargined,534111
Argentina,Copa Santa Fe,1710,10011,TXStablePriceDemargined,17041
Argentina,Copa de Invierno,10022113,10011,TXStablePriceDemargined,1374
Argentina,Liga Profesional Argentina,87,10011,TXStablePriceDemargined,5165235
Argentina,Liga Sanjuanina Division A,10002302,10011,TXStablePriceDemargined,8778
Argentina,Prim B Metro,471,10011,TXStablePriceDemargined,1184001
Argentina,Prim B Metro Reserves,10004409,10011,TXStablePriceDemargined,229696
Argentina,Prim C Metro Reserves,10004408,10011,TXStablePriceDemargined,280804
Argentina,Primera C,472,10011,TXStablePriceDemargined,887846
Argentina,Primera C Women,10005204,10011,TXStablePriceDemargined,1226
Argentina,Primera Division A Chaco,10002592,10011,TXStablePriceDemargined,34619
Argentina,Primera Nacional,88,10011,TXStablePriceDemargined,2925284
Argentina,Primera Nacional Reserves,10005188,10011,TXStablePriceDemargined,373959
Argentina,Reserve League,1255,10011,TXStablePriceDemargined,2286950
Argentina,Super Cup,1095,10011,TXStablePriceDemargined,9248
Argentina,Supercopa Entre Rios,10008770,10011,TXStablePriceDemargined,13447
Argentina,Torneo Federal A,454,10011,TXStablePriceDemargined,1089358
Argentina,Torneo Regional Federal Amateur,501,10011,TXStablePriceDemargined,378215
Argentina,Trofeo de Campeones de la Superliga,2036,10011,TXStablePriceDemargined,10302
Argentina,Youth League U20,10002218,10011,TXStablePriceDemargined,123388
Armenia,Cup,269,10011,TXStablePriceDemargined,13404
Armenia,First League,542,10011,TXStablePriceDemargined,7
Armenia,Premier League,143,10011,TXStablePriceDemargined,177197
Armenia,Super Cup,850,10011,TXStablePriceDemargined,23
Aruba,Copa Betico Croes,1303,10011,TXStablePriceDemargined,21731
Aruba,Division di Honor,589,10011,TXStablePriceDemargined,70611
Aruba,Play-offs 1/2,10021486,10011,TXStablePriceDemargined,509
Asia,AFC Challenge League,713,10011,TXStablePriceDemargined,281412
Asia,AFC Champions League Elite,251,10011,TXStablePriceDemargined,1778924
Asia,AFC Champions League Two,253,10011,TXStablePriceDemargined,1279252
Asia,AFC Women's Champions League,2068,10011,TXStablePriceDemargined,206986
Asia,AFF U23 Championship,10000227,10011,TXStablePriceDemargined,399
Asia,AGCFF Gulf Club Champions League,773,10011,TXStablePriceDemargined,167766
Asia,ASEAN Club Championship,10015884,10011,TXStablePriceDemargined,329898
Asia,South Asian Super Cup,10022810,10011,TXStablePriceDemargined,15979
Asia,Women's Asian Cup,766,10011,TXStablePriceDemargined,184061
Asian Cup,Qatar-UAE Super Cup,10013785,10011,TXStablePriceDemargined,32209
Australia,A-League,283,10011,TXStablePriceDemargined,2925548
Australia,A-League Women,370,10011,TXStablePriceDemargined,1334025
Australia,Capital Territory FFA Cup Preliminary,1907,10011,TXStablePriceDemargined,18572
Australia,Capital Territory NPL,624,10011,TXStablePriceDemargined,225323
Australia,Capital Territory NPL 2,1875,10011,TXStablePriceDemargined,34186
Australia,Capital Territory NPL Women,1889,10011,TXStablePriceDemargined,60886
Australia,Capital Territory NPL Youth League,1883,10011,TXStablePriceDemargined,45624
Australia,Capital Territory NPL Youth League 2,10000422,10011,TXStablePriceDemargined,10988
Australia,Championship,10022869,10011,TXStablePriceDemargined,588748
Australia,Cup,1377,10011,TXStablePriceDemargined,149734
Australia,FIFA Series,10014107,10011,TXStablePriceDemargined,85007
Australia,FQPL 3 Metro,721,10011,TXStablePriceDemargined,26636
Australia,FQPL 3 South Coast,10014110,10011,TXStablePriceDemargined,12
Australia,NSW FFA Cup Preliminary,1905,10011,TXStablePriceDemargined,26125
Australia,NSW League One Youth,10000423,10011,TXStablePriceDemargined,81695
Australia,NSW Play-offs 1/2,10010784,10011,TXStablePriceDemargined,5324
Australia,NSW Play-offs 2/3,10010785,10011,TXStablePriceDemargined,3261
Australia,New South Wales League One,1876,10011,TXStablePriceDemargined,229510
Australia,New South Wales League Two,10002111,10011,TXStablePriceDemargined,174838
Australia,New South Wales NPL,606,10011,TXStablePriceDemargined,1279177
Australia,New South Wales NPL Women,1890,10011,TXStablePriceDemargined,506684
Australia,New South Wales NPL Youth League,1884,10011,TXStablePriceDemargined,182535
Australia,Northern NSW FFA Cup Preliminary,1908,10011,TXStablePriceDemargined,3857
Australia,Northern NSW NPL,625,10011,TXStablePriceDemargined,560008
Australia,Northern NSW Play-offs 1/2,10022790,10011,TXStablePriceDemargined,1374
Australia,Northern NSW Reserve League,2071,10011,TXStablePriceDemargined,56554
Australia,Northern NSW State League 1,1877,10011,TXStablePriceDemargined,5502
Australia,Northern NSW State League 1 Reserves,10000399,10011,TXStablePriceDemargined,16
Australia,Northern NSW Women's Premier League,10002110,10011,TXStablePriceDemargined,166148
Australia,Northern NSW Women's Reserves,10014396,10011,TXStablePriceDemargined,58
Australia,Northern Territory FFA Cup Preliminary,1911,10011,TXStablePriceDemargined,2619
Australia,Northern Territory Premier League,626,10011,TXStablePriceDemargined,348595
Australia,Northern Territory Premier League Reserves,10015491,10011,TXStablePriceDemargined,1192
Australia,QLD FQPL 1 Women,10006756,10011,TXStablePriceDemargined,115423
Australia,QLD Pro Series,10009000,10011,TXStablePriceDemargined,155390
Australia,Queensland FFA Cup Preliminary,1903,10011,TXStablePriceDemargined,22216
Australia,Queensland NPL,608,10011,TXStablePriceDemargined,656533
Australia,Queensland NPL Women,1893,10011,TXStablePriceDemargined,322709
Australia,Queensland NPL Youth League,1886,10011,TXStablePriceDemargined,62493
Australia,Queensland PL Youth,10000376,10011,TXStablePriceDemargined,57248
Australia,Queensland PL2 Youth,10002484,10011,TXStablePriceDemargined,6995
Australia,Queensland Premier League,1878,10011,TXStablePriceDemargined,479740
Australia,Queensland Premier League 2,10002202,10011,TXStablePriceDemargined,126185
Australia,Queensland Women's Super Cup,10002286,10011,TXStablePriceDemargined,1381
Australia,South Australia FFA Cup Preliminary,1909,10011,TXStablePriceDemargined,27408
Australia,South Australia NPL,607,10011,TXStablePriceDemargined,526775
Australia,South Australia NPL Women,1891,10011,TXStablePriceDemargined,204515
Australia,South Australia NPL Women Reserves,50948,10011,TXStablePriceDemargined,14939
Australia,South Australia Reserves Premier League,1334,10011,TXStablePriceDemargined,31207
Australia,South Australia State League 1,1879,10011,TXStablePriceDemargined,359491
Australia,South Australia State League 1 Reserves,10000424,10011,TXStablePriceDemargined,36887
Australia,South Australia State League 2,50942,10011,TXStablePriceDemargined,2008
Australia,South Australia State League 2 Reserves,10012452,10011,TXStablePriceDemargined,237
Australia,TAS NPL Youth,10009062,10011,TXStablePriceDemargined,4136
Australia,Tasmania FFA Cup Preliminary,1910,10011,TXStablePriceDemargined,263
Australia,Tasmania NPL,611,10011,TXStablePriceDemargined,302351
Australia,Tasmania Southern Championship,1881,10011,TXStablePriceDemargined,3416
Australia,Tasmania Southern Championship Reserves,10000365,10011,TXStablePriceDemargined,648
Australia,Tasmania Southern Championship Women,10000397,10011,TXStablePriceDemargined,798
Australia,Tasmania Women's Super League,10003185,10011,TXStablePriceDemargined,62950
Australia,VIC Premier League Women,10006769,10011,TXStablePriceDemargined,11301
Australia,Victoria Dockerty Cup,1624,10011,TXStablePriceDemargined,5750
Australia,Victoria FFA Cup Preliminary,1904,10011,TXStablePriceDemargined,44434
